11:20:43.827 [INFO] (trainer.py:109) Total Epi:   179 Steps:    3805 Episode Steps:    18 Return:  18.0000 FPS: 10562.20
11:20:43.831 [INFO] (trainer.py:109) Total Epi:   180 Steps:    3834 Episode Steps:    29 Return:  29.0000 FPS: 10324.77
11:20:43.833 [INFO] (trainer.py:109) Total Epi:   181 Steps:    3846 Episode Steps:    12 Return:  12.0000 FPS: 9760.23
11:20:43.838 [INFO] (trainer.py:109) Total Epi:   182 Steps:    3889 Episode Steps:    43 Return:  43.0000 FPS: 10774.09
11:20:43.839 [INFO] (trainer.py:109) Total Epi:   183 Steps:    3902 Episode Steps:    13 Return:  13.0000 FPS: 10360.19
11:20:43.841 [INFO] (trainer.py:109) Total Epi:   184 Steps:    3911 Episode Steps:     9 Return:  9.0000 FPS: 9688.52
11:20:43.844 [INFO] (trainer.py:109) Total Epi:   185 Steps:    3941 Episode Steps:    30 Return:  30.0000 FPS: 10743.62
11:20:43.847 [INFO] (trainer.py:109) Total Epi:   186 Steps:    3961 Episode Steps:    20 Return:  20.0000 FPS: 10543.33
11:20:43.849 [INFO] (trainer.py:109) Total Epi:   187 Steps:    3977 Episode Steps:    16 Return:  16.0000 FPS: 10053.28
11:20:43.855 [INFO] (trainer.py:109) Total Epi:   188 Steps:    4032 Episode Steps:    55 Return:  55.0000 FPS: 11071.02
11:20:43.861 [INFO] (trainer.py:109) Total Epi:   189 Steps:    4084 Episode Steps:    52 Return:  52.0000 FPS: 10889.30
11:20:43.863 [INFO] (trainer.py:109) Total Epi:   190 Steps:    4104 Episode Steps:    20 Return:  20.0000 FPS: 10429.89
11:20:43.870 [INFO] (trainer.py:109) Total Epi:   191 Steps:    4174 Episode Steps:    70 Return:  70.0000 FPS: 10837.35
11:20:43.874 [INFO] (trainer.py:109) Total Epi:   192 Steps:    4202 Episode Steps:    28 Return:  28.0000 FPS: 10595.49
11:20:43.877 [INFO] (trainer.py:109) Total Epi:   193 Steps:    4224 Episode Steps:    22 Return:  22.0000 FPS: 10725.39
11:20:43.878 [INFO] (trainer.py:109) Total Epi:   194 Steps:    4235 Episode Steps:    11 Return:  11.0000 FPS: 9543.74
11:20:43.882 [INFO] (trainer.py:109) Total Epi:   195 Steps:    4262 Episode Steps:    27 Return:  27.0000 FPS: 10259.45
11:20:43.884 [INFO] (trainer.py:109) Total Epi:   196 Steps:    4275 Episode Steps:    13 Return:  13.0000 FPS: 10344.35
11:20:43.886 [INFO] (trainer.py:109) Total Epi:   197 Steps:    4291 Episode Steps:    16 Return:  16.0000 FPS: 10096.61
11:20:43.888 [INFO] (trainer.py:109) Total Epi:   198 Steps:    4308 Episode Steps:    17 Return:  17.0000 FPS: 10624.49
11:20:43.890 [INFO] (trainer.py:109) Total Epi:   199 Steps:    4319 Episode Steps:    11 Return:  11.0000 FPS: 9624.26
11:20:43.892 [INFO] (trainer.py:109) Total Epi:   200 Steps:    4331 Episode Steps:    12 Return:  12.0000 FPS: 10124.85
11:20:43.894 [INFO] (trainer.py:109) Total Epi:   201 Steps:    4348 Episode Steps:    17 Return:  17.0000 FPS: 10096.16
11:20:43.896 [INFO] (trainer.py:109) Total Epi:   202 Steps:    4364 Episode Steps:    16 Return:  16.0000 FPS: 10319.42
11:20:43.899 [INFO] (trainer.py:109) Total Epi:   203 Steps:    4384 Episode Steps:    20 Return:  20.0000 FPS: 10358.16
11:20:43.901 [INFO] (trainer.py:109) Total Epi:   204 Steps:    4394 Episode Steps:    10 Return:  10.0000 FPS: 9931.56
11:20:43.903 [INFO] (trainer.py:109) Total Epi:   205 Steps:    4416 Episode Steps:    22 Return:  22.0000 FPS: 10785.18
11:20:43.906 [INFO] (trainer.py:109) Total Epi:   206 Steps:    4434 Episode Steps:    18 Return:  18.0000 FPS: 10166.40
